categoria,split,registros,descripciones_base,ejemplos_controlados,ejemplos_aumentados
Alimentación,test,6,3,0,3
Alimentación,train,79,16,20,63
Alimentación,validation,6,3,4,3
Compras,test,6,3,2,3
Compras,train,75,15,15,60
Compras,validation,6,3,4,3
Deudas,test,6,3,4,3
Deudas,train,52,11,32,42
Deudas,validation,6,3,4,3
Educación,test,4,2,2,2
Educación,train,38,8,15,30
Educación,validation,4,2,4,2
Entretenimiento,test,6,3,0,3
Entretenimiento,train,64,13,30,51
Entretenimiento,validation,6,3,0,3
Finanzas,test,4,2,2,2
Finanzas,train,34,7,20,27
Finanzas,validation,3,2,1,2
Otros,test,4,2,4,2
Otros,train,59,12,15,47
Otros,validation,4,2,2,2
Salud,test,6,3,2,3
Salud,train,80,16,20,64
Salud,validation,6,3,2,3
Servicios,test,4,2,2,2
Servicios,train,45,9,20,36
Servicios,validation,4,2,2,2
Transporte,test,6,3,2,3
Transporte,train,61,13,10,48
Transporte,validation,6,3,6,3
Vivienda,test,4,2,4,2
Vivienda,train,50,10,10,40
Vivienda,validation,4,2,4,2
